HQ,Industry,Total Funding,ARR,Valuation,Employees,Product,G2 Rating,Company Age
23,62,460000000.0,400000000.0,3200000000.0,"1,600",12,4.7,9
28,29,228500000.0,265000000.0,5700000000.0,"1,000",29,4.4,17
25,6,1400000000.0,500000000.0,7500000000.0,"2,500",74,4.6,13
0,63,920000000.0,500000000.0,5300000000.0,"2,500",83,4.3,9
10,35,1000000000.0,500000000.0,9500000000.0,"2,000",37,4.2,18
16,22,750000000.0,600000000.0,6000000000.0,"2,600",93,4.6,11
21,0,315000000.0,600000000.0,9500000000.0,"2,000",2,4.3,17
4,30,1400000000.0,200000000.0,7400000000.0,"1,300",30,4.5,10
21,3,315000000.0,100000000.0,1700000000.0,500,6,4.4,14
9,41,1500000000.0,685000000.0,9500000000.0,"2,700",42,4.2,13
7,11,899000000.0,943000000.0,9000000000.0,"3,200",17,4.5,23
21,81,987000000.0,400000000.0,7500000000.0,"2,000",90,4.4,20
13,79,450000000.0,433000000.0,1500000000.0,"1,200",86,4.2,21
